Date,Value,Value
07-31-17,56.5,56.3,-0.20000000000000284
06-30-17,55.3,57.8,
05-31-17,54.8,54.9,
04-30-17,56.5,54.8,
03-31-17,57.2,57.2,
02-28-17,56.2,57.7,
01-31-17,55,56,
12-31-16,53.8,54.7,
11-30-16,52.5,53.2,
10-31-16,51.7,51.9,
09-30-16,50.4,51.5,
08-31-16,52,49.4,
07-31-16,53,52.6,
06-30-16,51.3,53.2,
05-31-16,50.3,51.3,
04-30-16,51.4,50.8,
03-31-16,51,51.8,
02-29-16,48.5,49.5,
01-31-16,48.4,48.2,
12-31-15,49,48.2,
11-30-15,50.5,48.6,
10-31-15,50,50.1,
09-30-15,50.6,50.2,
08-31-15,52.5,51.1,
07-31-15,53.5,52.7,
06-30-15,53.2,53.5,
05-31-15,52,52.8,
04-30-15,52,51.5,
03-31-15,52.5,51.5,
02-28-15,53,52.9,
01-31-15,54.5,53.5,
12-31-14,57.5,55.5,
11-30-14,58,58.7,
10-31-14,56.1,59,
09-30-14,58.5,56.6,
08-31-14,57,59,
07-31-14,56,57.1,
06-30-14,55.9,55.3,
05-31-14,55.5,55.4,
04-30-14,54.3,54.9,
03-31-14,54,53.7,
02-28-14,52.3,53.2,
01-31-14,56,51.3,
12-31-13,56.8,57,
11-30-13,55.1,57.3,
10-31-13,55,56.4,
09-30-13,55,56.2,
08-31-13,54,55.7,
07-31-13,52,55.4,
06-30-13,50.5,50.9,
05-31-13,51,49,
04-30-13,50.5,50.7,
03-31-13,54,51.3,
02-28-13,52.5,54.2,
01-31-13,50.7,53.1,
12-31-12,50.5,50.7,
11-30-12,51.4,49.5,
10-31-12,51,51.7,
09-30-12,49.7,51.5,
08-31-12,50,49.6,
07-31-12,50.2,49.8,
06-30-12,52,49.7,
05-31-12,53.8,53.5,
04-30-12,53,54.8,
03-31-12,53,53.4,
02-29-12,54.5,52.4,
01-31-12,54.5,54.1,
12-31-11,53.5,53.9,
11-30-11,51.8,52.7,
10-31-11,52,50.8,
09-30-11,50.5,51.6,
08-31-11,48.5,50.6,
07-31-11,54.5,50.9,
06-30-11,52,55.3,
05-31-11,57.1,53.5,
04-30-11,59.5,60.4,
03-31-11,61.1,61.2,
02-28-11,61,61.4,
01-31-11,58,60.8,
12-31-10,57,57,
11-30-10,56.5,56.6,
10-31-10,54,56.9,
09-30-10,54.5,54.4,
08-31-10,52.8,56.3,
07-31-10,54.5,55.5,
06-30-10,59,56.2,
05-31-10,59,59.7,
04-30-10,60,60.4,
03-31-10,57,59.6,
02-28-10,57.9,56.5,
01-31-10,55.5,58.4,
12-31-09,54.3,55.9,
11-30-09,55,53.6,
10-31-09,53,55.7,
09-30-09,54,52.6,
08-31-09,50.5,52.9,
07-31-09,46.5,48.9,
06-30-09,44.9,44.8,
05-31-09,42.3,42.8,
04-30-09,38.4,40.1,
03-31-09,36,36.299999999999997,
02-28-09,33.799999999999997,35.799999999999997,
01-31-09,32.5,35.6,
12-31-08,35.4,32.4,
11-30-08,37,36.200000000000003,
10-31-08,41,38.9,
09-30-08,49.5,43.5,
08-31-08,50,49.9,
07-31-08,49,50,
06-30-08,48.5,50.2,
05-31-08,48.5,49.6,
04-30-08,48,48.6,
03-31-08,47.5,48.6,
02-29-08,48,48.3,
01-31-08,47.3,50.7,
12-31-07,50.5,47.7,
11-30-07,50.8,50.8,
10-31-07,51.5,50.9,
09-30-07,52.6,52,
08-31-07,53,52.9,
07-31-07,55,53.8,
06-30-07,55,56,
05-31-07,54,55,
04-30-07,51,54.7,
03-31-07,51.4,50.9,
02-28-07,50,52.3,
01-31-07,51.7,49.3,
12-31-06,50,51.4,
11-30-06,51.5,49.5,
10-31-06,53,51.2,
09-30-06,53.5,52.9,
08-31-06,54.5,54.5,
07-31-06,53.5,54.7,
06-30-06,55,53.8,
05-31-06,55.7,54.4,
04-30-06,55,57.3,
03-31-06,57.7,55.2,
02-28-06,55.5,56.7,
01-31-06,55.5,54.8,
12-31-05,57.5,54.2,
11-30-05,58,58.1,
10-31-05,57.2,59.1,
09-30-05,52,59.4,
08-31-05,57,53.6,
07-31-05,54.5,56.6,
06-30-05,51.3,53.8,
05-31-05,52,51.4,
04-30-05,55,53.3,
03-31-05,55,55.2,
02-28-05,57,55.3,
01-31-05,57,56.4,
12-31-04,58.5,58.6,
11-30-04,57,57.8,
10-31-04,58.5,56.8,
09-30-04,58.4,58.5,
08-31-04,60,59,
07-31-04,62,62,
06-30-04,61,61.1,
05-31-04,61.5,62.8,
04-30-04,62.7,62.4,
03-31-04,59.5,62.5,
02-29-04,62,61.4,
01-31-04,64,63.6,
12-31-03,61,66.2,
11-30-03,58.5,62.8,
10-31-03,56,57,
09-30-03,54.5,53.7,
08-31-03,54,54.7,
07-31-03,52,51.8,
06-30-03,51,49.8,
05-31-03,48.7,49.4,
04-30-03,47.2,45.4,
03-31-03,49,46.2,
02-28-03,52,50.5,
01-31-03,54,53.9,
12-31-02,50,54.7,
11-30-02,51,49.2,
10-31-02,49,48.5,
09-30-02,50.9,49.5,
08-31-02,51.8,50.5,
07-31-02,55,50.5,
06-30-02,55.5,56.2,
05-31-02,54.7,55.7,
04-30-02,55,53.9,
03-31-02,54.8,55.6,
02-28-02,51,54.7,
01-31-02,50,49.9,
12-31-01,46,48.2,
11-30-01,42,44.5,
10-31-01,44.5,39.799999999999997,
09-30-01,45.6,47,
08-31-01,44,47.9,
07-31-01,44.5,43.6,
06-30-01,43,44.7,
05-31-01,43.5,42.1,
04-30-01,44,43.2,
03-31-01,41.5,43.1,
02-28-01,42,41.9,
01-31-01,43,41.2,
12-31-00,47,43.7,
11-30-00,48,47.7,
10-31-00,49.5,48.3,
09-30-00,50.2,49.9,
08-31-00,52.3,49.5,
07-31-00,52.5,51.8,
06-30-00,52.8,51.8,
05-31-00,55.3,53.2,
04-30-00,55.5,54.9,
03-31-00,57,55.8,
02-29-00,56.5,56.9,
01-31-00,56,56.3,
12-31-99,56,55.5,
11-30-99,57,56.2,
10-31-99,56.5,56.6,
09-30-99,54.5,57.8,
08-31-99,54.9,54.2,
07-31-99,56,53.4,
06-30-99,54.7,57,
05-31-99,53,55.2,
04-30-99,55,52.8,
03-31-99,52,54.3,
02-28-99,50,52.4,
01-31-99,46.5,49.5,
