Date,Value
08-04-17,244,241
07-28-17,241,242
07-21-17,245,244.25
07-14-17,234,244
07-07-17,248,246
06-30-17,250,243.5
06-23-17,244,242.25
06-16-17,242,245
06-09-17,238,243.25
06-02-17,245,242
05-26-17,255,239.75
05-19-17,235,235.5
05-12-17,233,241
05-05-17,236,243.5
04-28-17,238,243
04-21-17,257,242.25
04-14-17,243,242.75
04-07-17,234,247.25
03-31-17,235,250.25
03-24-17,259,254.5
03-17-17,261,246.5
03-10-17,246,243
03-03-17,252,243.5
02-24-17,227,239.75
02-17-17,247,245.5
02-10-17,248,246.75
02-03-17,237,245
01-27-17,250,247
01-20-17,252,244.75
01-13-17,241,246.25
01-06-17,245,252.25
12-30-16,241,253.75
12-23-16,258,256.25
12-16-16,265,257.25
12-09-16,251,253
12-02-16,251,250
11-25-16,262,249.75
11-18-16,248,249.5
11-11-16,239,251.25
11-04-16,250,256
10-28-16,261,255.5
10-21-16,255,252
10-14-16,258,251.5
10-07-16,248,250
09-30-16,247,252.5
09-23-16,253,255
09-16-16,252,256.75
09-09-16,258,258.75
09-02-16,257,259.5
08-26-16,260,261
08-19-16,260,262.5
08-12-16,261,263.25
08-05-16,263,262.5
07-29-16,266,260.25
07-22-16,263,258.5
07-15-16,258,259.5
07-08-16,254,260.5
07-01-16,259,265.25
06-24-16,267,266.75
06-17-16,262,267
06-10-16,273,268.5
06-03-16,265,269.5
05-27-16,268,274.75
05-20-16,268,276.75
05-13-16,277,275
05-06-16,286,270
04-29-16,276,263
04-22-16,261,261.75
04-15-16,257,265.25
04-08-16,258,268.75
04-01-16,271,270.25
03-25-16,275,268
03-18-16,271,266
03-11-16,264,265.75
03-04-16,262,266.75
02-26-16,267,267.5
02-19-16,270,273
02-12-16,268,272
02-05-16,265,277.75
01-29-16,289,281
01-22-16,266,278.25
01-15-16,291,281.5
01-08-16,278,274.25
01-01-16,278,272
12-25-15,279,271.75
12-18-15,262,268.75
12-11-15,269,268.25
12-04-15,277,270.5
11-27-15,267,270
11-20-15,260,271.5
11-13-15,278,272
11-06-15,275,268
10-30-15,273,264.5
10-23-15,262,263.5
10-16-15,262,267
10-09-15,261,269.25
10-02-15,269,270.75
09-25-15,276,272.25
09-18-15,271,273
09-11-15,267,273
09-04-15,275,275.25
08-28-15,279,274.5
08-21-15,271,272.5
08-14-15,276,271.5
08-07-15,272,268.75
07-31-15,271,270.75
07-24-15,267,276.75
07-17-15,265,279.5
07-10-15,280,282
07-03-15,295,279
06-26-15,278,275
06-19-15,275,275
06-12-15,268,276.75
06-05-15,279,278.75
05-29-15,278,275.75
05-22-15,282,273
05-15-15,276,269.75
05-08-15,267,275.25
05-01-15,267,282
04-24-15,269,286.5
04-17-15,298,286.25
04-10-15,294,284
04-03-15,285,283.25
03-27-15,268,286.25
03-20-15,289,298.25
03-13-15,291,301.5
03-06-15,297,301
02-27-15,316,301.25
02-20-15,302,293.75
02-13-15,289,283.5
02-06-15,298,285.5
01-30-15,286,286
01-23-15,261,288.5
01-16-15,297,295.25
01-09-15,300,290
01-02-15,296,286.75
12-26-14,288,284.5
12-19-14,276,285.75
12-12-14,287,292.75
12-05-14,287,295
11-28-14,293,295.75
11-21-14,304,292.5
11-14-14,296,288.5
11-07-14,290,286.75
10-31-14,280,283.75
10-24-14,288,287.25
10-17-14,289,288.25
10-10-14,278,290.25
10-03-14,294,293.5
09-26-14,292,297.5
09-19-14,297,300
09-12-14,291,300.25
09-05-14,310,303
08-29-14,302,302.25
08-22-14,298,301
08-15-14,302,302
08-08-14,307,300.25
08-01-14,297,299.5
07-25-14,302,301.5
07-18-14,295,303.5
07-11-14,304,308.75
07-04-14,305,311.25
06-27-14,310,314.25
06-20-14,316,315.25
06-13-14,314,312.75
06-06-14,317,315.25
05-30-14,314,311.25
05-23-14,306,313.75
05-16-14,324,323
05-09-14,301,324.75
05-02-14,324,326.5
04-25-14,343,323.5
04-18-14,331,320.5
04-11-14,308,317
04-04-14,312,320.75
03-28-14,331,324
03-21-14,317,321.25
03-14-14,323,326.5
03-07-14,325,329.5
02-28-14,320,332.5
02-21-14,338,335.75
02-14-14,335,336.5
02-07-14,337,334
01-31-14,333,328.5
01-24-14,341,327
01-17-14,325,325.5
01-10-14,315,328
01-03-14,327,340.75
12-27-13,335,347
12-20-13,335,341.5
12-13-13,366,336.75
12-06-13,352,328.75
11-29-13,313,325.75
11-22-13,316,333.25
11-15-13,334,340.75
11-08-13,340,345
11-01-13,343,351.5
10-25-13,346,358.5
10-18-13,351,352
10-11-13,366,343.5
10-04-13,371,333.25
09-27-13,320,316.25
09-20-13,317,317.5
09-13-13,325,322
09-06-13,303,325.75
08-30-13,325,331.25
08-23-13,335,335.25
08-16-13,340,334.75
08-09-13,325,338.75
08-02-13,341,343
07-26-13,333,346
07-19-13,356,347.75
07-12-13,342,345.5
07-05-13,353,348.25
06-28-13,340,344.25
06-21-13,347,346
06-14-13,353,347.75
06-07-13,337,345
05-31-13,347,350.25
05-24-13,354,347.25
05-17-13,342,341.25
05-10-13,358,341.75
05-03-13,335,340.75
04-26-13,330,346.5
04-19-13,344,357.5
04-12-13,354,361.5
04-05-13,358,358.75
03-29-13,374,354.75
03-22-13,360,346.25
03-15-13,343,340.75
03-08-13,342,345.75
03-01-13,340,346.5
02-22-13,338,351.5
02-15-13,363,358
02-08-13,345,352.5
02-01-13,360,351.25
