Date,Value,Value
08-18-17,5658.14,2425.5500000000002
08-17-17,5684.51,2430.0100000000002
08-16-17,5682.56,2468.11
08-15-17,5659.8,2464.61
08-14-17,5678.28,2465.84
08-11-17,5654.17,2441.3200000000002
08-10-17,5683.43,2438.21
08-09-17,5711.48,2474.02
08-08-17,5741.49,2474.92
08-07-17,5756.4,2480.91
08-04-17,5741.31,2476.83
08-03-17,5763.13,2472.16
08-02-17,5755.37,2477.5700000000002
08-01-17,5757.45,2476.35
07-31-17,5710.93,2470.3000000000002
07-28-17,5699.5,2472.1
07-27-17,5710.83,2475.42
07-26-17,5689.77,2477.83
07-25-17,5681.83,2477.13
07-24-17,5664.89,2469.91
07-21-17,5685.98,2472.54
07-20-17,5715.15,2473.4499999999998
07-19-17,5680.89,2473.83
07-18-17,5662.61,2460.61
07-17-17,5660.23,2459.14
07-14-17,5655.83,2459.27
07-13-17,5614.39,2447.83
07-12-17,5600.48,2443.25
07-11-17,5536.42,2425.5300000000002
07-10-17,5542.14,2427.4299999999998
07-07-17,5522.09,2425.1799999999998
07-06-17,5544.69,2409.75
07-05-17,5546.58,2432.54
07-04-17,5545.84,2429.0100000000002
07-03-17,5557.66,2423.41
06-30-17,5545.86,2419.6999999999998
06-29-17,5580.9,2440.69
06-28-17,5595.71,2419.38
06-27-17,5565.02,2439.0700000000002
06-26-17,5567.88,2438.3000000000002
06-23-17,5552.81,2434.5
06-22-17,5542.36,2435.61
06-21-17,5528.84,2437.0300000000002
06-20-17,5542.75,2453.46
06-19-17,5586.98,2433.15
06-16-17,5559,2432.46
06-15-17,5513.15,2437.92
06-14-17,5593.45,2440.35
06-13-17,5571.73,2429.39
06-12-17,5538.83,2431.77
06-09-17,5559.89,2433.79
06-08-17,5559.47,2433.14
06-07-17,5581.46,2429.33
06-06-17,5586.57,2436.1
06-05-17,5603.1,2439.0700000000002
06-02-17,5616.01,2430.06
06-01-17,5559.29,2411.8000000000002
05-31-17,5540.64,2412.91
05-30-17,5524.18,2415.8200000000002
05-29-17,5526.59,2415.0700000000002
05-26-17,5529.71,2404.39
05-25-17,5548.66,2398.42
05-24-17,5535.44,2394.02
05-23-17,5548.19,2381.73
05-22-17,5549.31,2365.7199999999998
05-19-17,5517.24,2357.0300000000002
05-18-17,5472.12,2400.67
05-17-17,5509.52,2402.3200000000002
05-16-17,5531.44,2390.9
05-15-17,5489.71,2394.44
05-12-17,5464.73,2399.63
05-11-17,5440.01,2396.92
05-10-17,5451.82,2399.38
05-09-17,5442.09,2399.29
05-08-17,5460.89,2389.52
05-05-17,5451.54,2388.13
05-04-17,5412.76,2391.17
05-03-17,5390.46,2388.33
05-02-17,5397.98,2384.1999999999998
05-01-17,5376.14,2388.77
04-28-17,5361.88,2387.4499999999998
04-27-17,5365.43,2388.61
04-26-17,5379.08,2374.15
04-25-17,5372.45,2348.69
04-24-17,5346.62,2355.84
04-21-17,5220.84,2338.17
04-20-17,5229.01,2342.19
04-19-17,5204.1000000000004,2349.0100000000002
04-18-17,5207.1099999999997,2328.9499999999998
04-17-17,5247.13,2344.9299999999998
04-14-17,5215.51,2353.7800000000002
04-13-17,5221.46,2357.16
04-12-17,5239.07,2355.54
04-11-17,5243.18,2357.4899999999998
04-10-17,5225.0200000000004,2352.9499999999998
04-07-17,5220.22,2360.16
04-06-17,5221.0200000000004,2358.84
04-05-17,5231.04,2362.7199999999998
04-04-17,5233.75,2368.06
04-03-17,5231.22,2361.13
03-31-17,5250.26,2358.5700000000002
03-30-17,5276.3,2341.59
03-29-17,5273.35,2343.98
03-28-17,5289.27,2345.96
03-27-17,5248.05,2348.4499999999998
03-24-17,5245.78,2344.02
03-23-17,5234.04,2373.4699999999998
03-22-17,5208.88,2378.25
03-21-17,5249.83,2381.38
03-20-17,5249.59,2385.2600000000002
03-17-17,5250.04,2365.4499999999998
03-16-17,5247.73,2373.4699999999998
03-15-17,5163.8500000000004,2372.6
03-14-17,5150.4799999999996,2364.87
03-13-17,5174.58,2362.98
03-10-17,5150.5,2368.39
03-09-17,5106.74,2375.31
03-08-17,5102.83,2383.12
03-07-17,5124.8999999999996,2381.92
03-06-17,5138.1000000000004,2395.96
03-03-17,5135.42,2363.64
03-02-17,5138.01,2369.75
03-01-17,5141.8999999999996,2367.34
02-28-17,5120.28,2363.81
02-27-17,5118.47,2362.8200000000002
02-24-17,5122.04,2365.38
02-23-17,5165.5,2351.16
02-22-17,5142.49,2347.2199999999998
02-21-17,5137.0600000000004,2349.25
02-20-17,5139.9399999999996,2337.58
02-17-17,5137.58,2328.25
02-16-17,5151.57,2316.1
02-15-17,5119.54,2307.87
02-14-17,5087.8100000000004,2294.67
02-13-17,5116.84,2293.08
02-10-17,5095.12,2292.56
02-09-17,5071.17,2297.42
02-08-17,5077.09,2280.85
02-07-17,5048.18,2279.5500000000002
02-06-17,5056.07,2278.87
02-03-17,5091.51,2280.9
02-02-17,5074.3599999999997,2294.69
02-01-17,5066.54,2296.6799999999998
01-31-17,5061.87,2298.37
01-30-17,5055.63,2280.0700000000002
01-27-17,5089.0200000000004,2265.1999999999998
01-26-17,5085.54,2271.31
01-25-17,5092.49,2263.69
01-24-17,5045.5200000000004,2271.89
01-23-17,5031.6899999999996,2267.89
01-20-17,5021.88,2274.64
01-19-17,4998.09,2270.44
01-18-17,5039.49,2275.3200000000002
01-17-17,5034.1000000000004,2268.9
01-16-17,5017.5200000000004,2268.9
01-13-17,5048.93,2276.98
01-12-17,5030.8900000000003,2269
01-11-17,4978.3999999999996,2270.75
01-10-17,5008.67,2257.83
01-09-17,4990.42,2238.83
01-06-17,5007.99,2249.2600000000002
01-05-17,5030.91,2249.92
01-04-17,4965.83,2268.88
01-03-17,4900.22,2263.79
01-02-17,4928.7700000000004,2260.96
12-30-16,4915.59,2265.1799999999998
12-29-16,4893.9799999999996,2270.7600000000002
12-28-16,4873.67,2262.5300000000002
12-27-16,4880.1000000000004,2258.0700000000002
12-26-16,4882.5200000000004,2262.0300000000002
12-23-16,4887.2,2253.2800000000002
12-22-16,4888.6499999999996,2271.7199999999998
12-21-16,4889.3599999999997,2256.96
12-20-16,4880.09,2259.5300000000002
12-19-16,4888.8999999999996,2246.19
12-16-16,4873.49,2241.35
12-15-16,4860.24,2212.23
12-14-16,4952.7700000000004,2204.71
12-13-16,4963.74,2191.9499999999998
12-12-16,4915.62,2191.08
12-09-16,4905.22,2198.81
12-08-16,4895.32,2204.66
12-07-16,4886.1499999999996,2201.7199999999998
12-06-16,4828.8500000000004,2213.35
12-05-16,4786.3599999999997,2204.7199999999998
12-02-16,4766.4799999999996,2202.94
12-01-16,4766.0200000000004,2198.1799999999998
11-30-16,4760.1099999999997,2181.9
11-29-16,4762.8599999999997,2187.12
11-28-16,4755.17,2176.94
11-25-16,4770.6400000000003,2180.39
11-24-16,4746.7299999999996,2164.1999999999998
11-23-16,4720.79,2164.4499999999998
11-22-16,4750.12,2167.48
11-21-16,4747.33,2163.2600000000002
11-18-16,4708.7299999999996,2139.56
11-17-16,4759.6000000000004,2131.52
11-16-16,4733.99,2085.1799999999998
11-15-16,4747.2700000000004,2088.66
11-14-16,4733.1899999999996,2097.94
11-11-16,4765.38,2111.7199999999998
11-10-16,4786.3,2126.15
11-09-16,4759.71,2126.41
11-08-16,4804.57,2133.04
11-07-16,4788.2700000000004,2139.4299999999998
11-04-16,4760.72,2143.16
11-03-16,4798.2299999999996,2151.33
11-02-16,4806.82,2141.16
11-01-16,4836.91,2141.34
10-31-16,4837.6499999999996,2144.29
10-28-16,4838.45,2139.6
10-27-16,4843.42,2126.5
10-26-16,4856.74,2132.98
10-25-16,4852.8900000000003,2132.5500000000002
10-24-16,4859.95,2139.1799999999998
10-21-16,4859.2700000000004,2136.73
10-20-16,4879.96,2163.66
10-19-16,4886.91,2153.7399999999998
10-18-16,4862.9399999999996,2160.77
10-17-16,4813.38,2159.73
10-14-16,4833.6400000000003,2150.4899999999998
10-13-16,4805.24,2161.1999999999998
10-12-16,4824.17,2168.27
10-11-16,4865.1099999999997,2151.13
10-10-16,4908.63,2171.37
10-07-16,4892.3500000000004,2159.9299999999998
10-06-16,4911,2146.1
10-05-16,4929.54,2164.69
10-04-16,4936.37,2177.1799999999998
10-03-16,4936.3100000000004,2163.12
09-30-16,4933.54,2139.7600000000002
09-29-16,4948.62,2139.12
09-28-16,4922.0200000000004,2139.16
09-27-16,4911.3,2147.2600000000002
09-26-16,4919.51,2125.77
09-23-16,4962.95,2127.02
09-22-16,4998.96,2159.04
09-21-16,4913.66,2127.81
09-20-16,4860.93,2181.3000000000002
09-19-16,4861.38,2186.16
09-16-16,4814.97,2186.48
09-15-16,4848.58,2179.98
09-14-16,4833.18,2170.86
09-13-16,4845.87,2170.9499999999998
09-12-16,4886.7299999999996,2176.12
09-09-16,4934.7,2180.38
09-08-16,5013.46,2169.04
09-07-16,5017.21,2172.4699999999998
09-06-16,5005.33,2175.44
09-05-16,4967.2,2186.9
09-02-16,4947.58,2182.64
09-01-16,4901.41,2183.87
08-31-16,4874.2,2187.02
08-30-16,4886.68,2182.2199999999998
08-29-16,4885.79,2178.15
08-26-16,4925.6000000000004,2190.15
08-25-16,4922.78,2184.0500000000002
08-24-16,4940.43,2185.79
08-23-16,4952.7,2175.4899999999998
08-22-16,4925.25,2181.7399999999998
08-19-16,4917.6099999999997,2180.89
08-18-16,4942.28,2182.87
08-17-16,4921.21,2164.25
08-16-16,4926.75,2163.79
08-15-16,4945.1899999999996,2157.0300000000002
08-12-16,4942.76,2170.84
08-11-16,4934.67,2173.6
08-10-16,4905.37,2170.06
08-09-16,4891.6899999999996,2166.58
08-08-16,4835.6400000000003,2169.1799999999998
08-05-16,4806.6499999999996,2168.48
08-04-16,4802.03,2175.0300000000002
08-03-16,4772.76,2165.17
08-02-16,4818.13,2173.02
08-01-16,4849.8100000000004,2163.7800000000002
07-29-16,4869.7,2166.89
07-28-16,4782.99,2161.7399999999998
07-27-16,4787.09,2163.75
07-26-16,4774.53,2152.4299999999998
07-25-16,4763.16,2152.14
07-22-16,4763.5,2137.16
07-21-16,4784.84,2129.9
07-20-16,4775.16,2097.9
07-19-16,4747.4799999999996,2099.73
07-18-16,4773.18,2088.5500000000002
07-15-16,4766.6899999999996,2102.9499999999998
07-14-16,4778.95,2098.86
07-13-16,4753.5600000000004,2070.77
07-12-16,4727.8500000000004,2036.09
07-11-16,4673.93,2000.54
07-08-16,4600.75,2037.41
07-07-16,4578.22,2113.3200000000002
07-06-16,4552,2085.4499999999998
07-05-16,4622.33,2088.9
07-04-16,4680.91,2083.25
07-01-16,4676.4399999999996,2071.2199999999998
06-30-16,4641.3900000000003,2077.9899999999998
06-29-16,4600.8900000000003,2071.5
06-28-16,4468.5600000000004,2075.3200000000002
06-27-16,4393.87,2079.06
06-24-16,4528.1899999999996,2096.0700000000002
06-23-16,4856.1000000000004,2115.48
06-22-16,4782.26,2119.12
06-21-16,4775.96,2112.13
06-20-16,4760.6400000000003,2109.41
06-17-16,4602.2299999999996,2099.13
06-16-16,4526.22,2105.2600000000002
06-15-16,4585.79,2099.33
06-14-16,4551.26,2096.96
06-13-16,4645.96,2099.06
06-10-16,4729.45,2090.1
06-09-16,4826.3500000000004,2090.54
06-08-16,4885.7299999999996,2076.06
06-07-16,4873.37,2048.04
06-06-16,4826.8100000000004,2052.3200000000002
06-03-16,4805.1400000000003,2040.04
06-02-16,4751.17,2047.63
06-01-16,4765.84,2047.21
05-31-16,4786.87,2066.66
05-30-16,4797.51,2046.61
05-27-16,4791.88,2064.11
05-26-16,4793.87,2064.46
05-25-16,4768.18,2084.39
05-24-16,4713.45,2058.69
05-23-16,4674.6499999999996,2057.14
05-20-16,4687.68,2050.63
05-19-16,4645.09,2051.12
05-18-16,4711.5200000000004,2063.37
05-17-16,4715.74,2081.4299999999998
05-16-16,4697.04,2065.3000000000002
05-13-16,4674.45,2075.81
05-12-16,4714.28,2095.15
05-11-16,4733.3999999999996,2091.6999999999998
05-10-16,4729.96,2087.79
05-09-16,4678.28,2091.58
05-06-16,4685.72,2091.48
05-05-16,4691.88,2102.4
05-04-16,4705.9799999999996,2100.8000000000002
05-03-16,4767,2094.34
05-02-16,4823.04,2080.73
04-29-16,4841.6000000000004,2082.7800000000002
04-28-16,4851.59,2082.42
04-27-16,4844.76,2061.7199999999998
04-26-16,4852.04,2041.99
04-25-16,4844.07,2047.6
04-22-16,4855.54,2041.91
04-21-16,4887.3999999999996,2066.66
04-20-16,4884.84,2045.17
04-19-16,4875.92,2066.13
04-18-16,4773.05,2072.7800000000002
04-15-16,4783.3,2059.7399999999998
04-14-16,4787.47,2063.9499999999998
04-13-16,4745.79,2055.0100000000002
04-12-16,4662.87,2037.05
04-11-16,4642.6400000000003,2035.94
04-08-16,4621.4399999999996,2036.71
04-07-16,4565.99,2049.8000000000002
04-06-16,4563.3,2051.6
04-05-16,4532.76,2049.58
04-04-16,4618.87,2040.59
04-01-16,4592.43,2027.22
