Date,Value,,,Value
08-07-17,15012.1,,08-07-17,2477.38
07-31-17,14987.5,,08-04-17,2473.89
07-24-17,14974.2,,07-28-17,2466.29
07-17-17,14966.8,,07-21-17,2464.16
07-10-17,14976.8,,07-14-17,2453.27
07-03-17,14890.2,,07-07-17,2419.92
06-26-17,14930.2,,06-30-17,2418.44
06-19-17,14896.4,,06-23-17,2431.25
06-12-17,14910.8,,06-16-17,2428.37
06-05-17,14902.7,,06-09-17,2425.5100000000002
05-29-17,14906.8,,06-02-17,2432.34
05-22-17,14918.5,,05-26-17,2409.9699999999998
05-15-17,14885.4,,05-19-17,2377.33
05-08-17,14864.9,,05-12-17,2386.04
05-01-17,14872.9,,05-05-17,2392.25
04-24-17,14825.5,,04-28-17,2380.4299999999998
04-17-17,14811.9,,04-21-17,2344.34
04-10-17,14777.3,,04-14-17,2329.21
04-03-17,14722.4,,04-07-17,2353.91
03-27-17,14764.5,,03-31-17,2358.98
03-20-17,14762.4,,03-24-17,2343.42
03-13-17,14762.1,,03-17-17,2376.64
03-06-17,14700.7,,03-10-17,2366.5
02-27-17,14716.3,,03-03-17,2376.67
02-20-17,14659.2,,02-24-17,2360.13
02-13-17,14646.8,,02-17-17,2343.54
02-06-17,14652.6,,02-10-17,2310.66
01-30-17,14640.5,,02-03-17,2292.6999999999998
01-23-17,14637,,01-27-17,2290.71
01-16-17,14634.6,,01-20-17,2268.39
01-09-17,14639.7,,01-13-17,2271.81
01-02-17,14592.3,,01-06-17,2275.1999999999998
12-26-16,14594,,12-30-16,2240.34
12-19-16,14596.5,,12-23-16,2257.6999999999998
12-12-16,14587.4,,12-16-16,2254.56
12-05-16,14588.7,,12-09-16,2253.2800000000002
11-28-16,14590,,12-02-16,2192.84
11-21-16,14579.9,,11-25-16,2207.27
11-14-16,14538.4,,11-18-16,2179.71
11-07-16,14502.8,,11-11-16,2165.36
10-31-16,14484.4,,11-04-16,2087.02
10-24-16,14468.2,,10-28-16,2127.23
10-17-16,14468.8,,10-21-16,2141.04
10-10-16,14481.7,,10-14-16,2132.88
10-03-16,14476.3,,10-07-16,2152.9
09-26-16,14478.5,,09-30-16,2168.5
09-19-16,14453.8,,09-23-16,2163.94
09-12-16,14467.7,,09-16-16,2138.88
09-05-16,14460.1,,09-09-16,2129.71
08-29-16,14457,,09-02-16,2178.73
08-22-16,14431.8,,08-26-16,2169.29
08-15-16,14416.9,,08-19-16,2183.1
08-08-16,14399.1,,08-12-16,2183.54
08-01-16,14366,,08-05-16,2181.52
07-25-16,14340.1,,07-29-16,2170.48
07-18-16,14316.3,,07-22-16,2173.9499999999998
07-11-16,14281.8,,07-15-16,2159.39
07-04-16,14278.4,,07-08-16,2129.77
06-27-16,14284.8,,07-01-16,2101.0100000000002
06-20-16,14263.7,,06-24-16,2041.34
06-13-16,14245.9,,06-17-16,2071.69
06-06-16,14204.8,,06-10-16,2095.91
05-30-16,14188.2,,06-03-16,2098.33
05-23-16,14194.8,,05-27-16,2097.4
05-16-16,14159.1,,05-20-16,2049.1999999999998
05-09-16,14148.2,,05-13-16,2047.49
05-02-16,14147.2,,05-06-16,2055.94
04-25-16,14107.8,,04-29-16,2066.56
04-18-16,14075.6,,04-22-16,2091.67
04-11-16,14044.2,,04-15-16,2079.25
04-04-16,14048.9,,04-08-16,2048.14
03-28-16,14036.3,,04-01-16,2069.89
03-21-16,13989.1,,03-25-16,2034.77
03-14-16,13963.4,,03-18-16,2048.12
03-07-16,13951.6,,03-11-16,2020.22
02-29-16,13923.9,,03-04-16,1998.84
02-22-16,13901.7,,02-26-16,1946.56
02-15-16,13859.7,,02-19-16,1917.74
02-08-16,13823.2,,02-12-16,1864.38
02-01-16,13841.2,,02-05-16,1881.45
01-25-16,13816.4,,01-29-16,1939.08
01-18-16,13769.3,,01-22-16,1906.76
01-11-16,13751,,01-15-16,1883.24
01-04-16,13740,,01-08-16,1925.18
12-28-15,13761.4,,01-01-16,2046.35
12-21-15,13760,,12-25-15,2061.71
12-14-15,13744.2,,12-18-15,2007.45
12-07-15,13728.2,,12-11-15,2012.41
11-30-15,13716,,12-04-15,2089.63
11-23-15,13714.7,,11-27-15,2090.86
11-16-15,13700.3,,11-20-15,2088.77
11-09-15,13682.8,,11-13-15,2024.18
11-02-15,13688.8,,11-06-15,2099.02
10-26-15,13636.3,,10-30-15,2077.79
10-19-15,13573.9,,10-23-15,2073.21
10-12-15,13547.7,,10-16-15,2032.12
10-05-15,13544,,10-09-15,2015.26
09-28-15,13553.6,,10-02-15,1951.7
09-21-15,13567.1,,09-25-15,1930.43
09-14-15,13539.2,,09-18-15,1960.96
09-07-15,13532.1,,09-11-15,1959.1
08-31-15,13540.2,,09-04-15,1921.22
08-24-15,13532,,08-28-15,1988.38
08-17-15,13498.9,,08-21-15,1974.45
08-10-15,13466,,08-14-15,2091.7800000000002
08-03-15,13433.4,,08-07-15,2079.83
07-27-15,13440.9,,07-31-15,2103.65
07-20-15,13405.5,,07-24-15,2081.92
07-13-15,13397.9,,07-17-15,2127.62
07-06-15,13398.3,,07-10-15,2078.2199999999998
06-29-15,13367.6,,07-03-15,2075.81
06-22-15,13347.1,,06-26-15,2101.19
06-15-15,13295.3,,06-19-15,2108.67
06-08-15,13289.4,,06-12-15,2093.46
06-01-15,13306.2,,06-05-15,2092.85
05-25-15,13297.1,,05-29-15,2108.84
05-18-15,13249.5,,05-22-15,2125.44
05-11-15,13234,,05-15-15,2122.16
05-04-15,13219.1,,05-08-15,2114.56
04-27-15,13216,,05-01-15,2107.52
04-20-15,13215.2,,04-24-15,2118.09
04-13-15,13215,,04-17-15,2081.98
04-06-15,13199.9,,04-10-15,2101.2600000000002
03-30-15,13204,,04-03-15,2066.52
03-23-15,13177.1,,03-27-15,2060.9
03-16-15,13159.3,,03-20-15,2108.66
03-09-15,13133,,03-13-15,2054.16
03-02-15,13164.6,,03-06-15,2072.56
02-23-15,13151.5,,02-27-15,2104.64
02-16-15,13113.3,,02-20-15,2110.14
