Date,Open,High,Low,Close
08-21-17,5805,5816.75,5752.25,5794
08-18-17,5792.25,5835,5772.5,5801.25
08-17-17,5920,5923.75,5786.5,5800.25
08-16-17,5915.25,5949.5,5902,5923.5
08-15-17,5913.5,5945,5895.5,5912
08-14-17,5837.25,5916.75,5837.25,5910
08-11-17,5769,5845.75,5761,5838.25
08-10-17,5922.5,5923,5767.25,5789.75
08-09-17,5913.25,5924.5,5861.75,5922.5
08-08-17,5935,5972.75,5907.5,5918
08-07-17,5900,5937.75,5898,5934
08-04-17,5889,5912,5874.25,5898
08-03-17,5911.25,5924.5,5877.25,5890
08-02-17,5933,5947.5,5856.25,5910.75
08-01-17,5884.5,5931.25,5875.5,5889.25
07-31-17,5910,5933.5,5870.25,5882.5
07-28-17,5909,5918.25,5850,5910.25
07-27-17,5961,5995.75,5844.75,5909.5
07-26-17,5933.75,5958,5927,5948
07-25-17,5925.25,5946.25,5915.75,5933.75
07-24-17,5919.25,5954.75,5905,5934
07-21-17,5930.75,5931.25,5890.5,5918.75
07-20-17,5919.5,5938.5,5897,5925.25
07-19-17,5895.5,5925,5889,5918.25
07-18-17,5858.25,5898.5,5820.25,5882.75
07-17-17,5843.5,5863.75,5831.25,5855
07-14-17,5799.5,5847.75,5787.75,5843.25
07-13-17,5786.75,5812,5777.25,5797.5
07-12-17,5719.5,5790,5712.75,5785.75
07-11-17,5692,5722.5,5667.5,5720
07-10-17,5663,5711.5,5650,5694
07-07-17,5598.5,5676.5,5591.5,5655.75
07-06-17,5650.5,5652.75,5580,5596.75
07-05-17,5591.25,5667.75,5560.25,5651.5
07-03-17,5658,5690.75,5581.25,5589.25
06-30-17,5648.25,5686.5,5623.5,5652.75
06-29-17,5766.25,5776,5601,5653
06-28-17,5673.75,5768.75,5632,5763.5
06-27-17,5780.75,5784,5669,5676.5
06-26-17,5803,5852,5768,5778.25
06-23-17,5785.5,5815.5,5763,5812.25
06-22-17,5793.25,5814.5,5770.75,5785.75
06-21-17,5728.25,5796.5,5699,5796
06-20-17,5766.75,5784,5729,5732.75
06-19-17,5694.25,5782.5,5683.25,5766
06-16-17,5701.5,5720,5685,5702.27
06-15-17,5722.75,5724.5,5633.75,5702.5
06-14-17,5752.25,5780,5680,5725.25
06-13-17,5713.25,5760.25,5706.75,5751.25
06-12-17,5740.5,5746.5,5634.5,5711
06-09-17,5872.5,5898.75,5660.25,5740.5
06-08-17,5877.75,5897.75,5853.5,5885
06-07-17,5862.25,5884.75,5845.75,5879.75
06-06-17,5880.25,5893.25,5848.5,5863.25
06-05-17,5878.25,5891.25,5872.75,5880.75
06-02-17,5823.75,5886.75,5822,5886
06-01-17,5804.75,5824,5780.5,5822
05-31-17,5792.5,5819.25,5763.75,5793.25
05-30-17,5793,5803.5,5778.25,5792
05-26-17,5781.25,5796.5,5772.75,5792.25
05-25-17,5731.5,5795.5,5731.25,5782
05-24-17,5709.5,5734.5,5705.25,5731.25
05-23-17,5701.5,5718.5,5688.5,5711.5
05-22-17,5652.75,5704.25,5648.75,5702
05-19-17,5631.5,5676.5,5622,5653.25
05-18-17,5575.5,5648.5,5550.5,5630.5
05-17-17,5723.5,5724,5574.75,5578.75
05-16-17,5705,5727.25,5696.25,5724.25
05-15-17,5689.5,5706.5,5682.5,5701.25
05-12-17,5670,5689.75,5656.5,5689
05-11-17,5674.75,5676.25,5636.25,5670.75
05-10-17,5678.5,5679.75,5658.25,5675.5
05-09-17,5654.25,5687.75,5650.75,5676.25
05-08-17,5658.25,5660.5,5634.5,5655.5
05-05-17,5627,5649.5,5612.5,5648.25
05-04-17,5609,5634,5603.75,5625.75
05-03-17,5621,5631,5606,5613.25
05-02-17,5629,5641.75,5622.5,5639.75
05-01-17,5581,5637.25,5573.5,5630.75
04-28-17,5584.5,5597.75,5571.75,5580.5
04-27-17,5535.25,5599,5534.25,5591
04-26-17,5546.75,5562.5,5535,5536.25
04-25-17,5502,5557.25,5499,5548.25
04-24-17,5471,5512.75,5471,5504
04-21-17,5445,5454.75,5427.5,5442
04-20-17,5398,5454.75,5394.5,5442.75
04-19-17,5389.75,5430.75,5388.75,5397.75
04-18-17,5397.5,5405.25,5375.5,5389.25
04-17-17,5352.75,5399.5,5347.75,5395.25
04-13-17,5369,5399.5,5347.5,5359
04-12-17,5402.75,5412.75,5369,5372.75
04-11-17,5426.75,5429.25,5358,5401.75
04-10-17,5420.75,5443.75,5405.75,5422.25
04-07-17,5426.75,5436,5382.75,5421.25
04-06-17,5414,5437.25,5390,5422.75
04-05-17,5447,5481.25,5409,5416.25
04-04-17,5432.75,5448,5406.75,5444
04-03-17,5436.75,5455,5403.25,5434.5
03-31-17,5440.75,5452.75,5421,5438.5
03-30-17,5436,5451,5426.5,5437.5
03-29-17,5409,5437.5,5404.75,5436
03-28-17,5382.5,5424.75,5363.5,5405
