Date,Open,High,Low,Close
08-21-17,414.5,418.75,408.75,409.5
08-18-17,414,417.75,412,416
08-17-17,419.5,422.25,412.25,414
08-16-17,429.5,435.75,417,419.25
08-15-17,440,440.25,428,429.5
08-14-17,436.5,441.75,431,441
08-11-17,441.5,444,434.5,439.25
08-10-17,459.5,462,439.25,440.5
08-09-17,457.25,461.5,454,459.5
08-08-17,463.75,468,454.75,457
08-07-17,457.75,464,454.25,463.5
08-04-17,457.75,461.5,453.5,454.75
08-03-17,461,463.75,454.25,457.75
08-02-17,462,466.75,455.75,460.75
08-01-17,469,478,460.5,461.25
07-31-17,478.75,480.75,471.5,474.5
07-28-17,480.25,489.25,478,481
07-27-17,478.25,485.5,477.5,479.75
07-26-17,476,481,473,477.75
07-25-17,494.75,495.25,473.25,474
07-24-17,496.25,496.5,483,488.75
07-21-17,506.5,510.25,497.5,499.25
07-20-17,504.5,508.25,495,505.75
07-19-17,504,509,500,503
07-18-17,509,517.75,503,503.75
07-17-17,509.5,512,502.75,506
07-14-17,494.75,494.75,494.75,494.75
07-13-17,516,516,496,495.5
07-12-17,533.5,534.25,521.5,522.5
07-11-17,531.25,531.25,528.5,535.5
07-10-17,530.75,531,530.5,530.5
07-07-17,515.75,524,514.5,515.25
07-06-17,519,528.75,519,519
07-05-17,544.5,553.5,517.5,539.25
07-03-17,518.25,539,518.25,536.75
06-30-17,480.25,511.5,480.25,511
06-29-17,457,483.75,456.25,480.25
06-28-17,453.5,459.25,451.5,457.25
06-27-17,450,457,449.25,453.25
06-26-17,458,460.75,449.25,450
06-23-17,464.75,467,459,459.75
06-22-17,464.5,465.25,455.5,461.25
06-21-17,473.5,473.75,463.5,464.5
06-20-17,469,474.75,463,472.5
06-19-17,463.75,473.25,458.5,467
06-16-17,456,468.5,455.5,465.25
06-15-17,443,457.25,437.25,453.75
06-14-17,445,452.25,441.75,443
06-13-17,437.25,446.25,436.75,445
06-12-17,443.25,444,431.25,434
06-09-17,448.75,454.25,443.75,445.75
06-08-17,447.25,455.75,446,449.25
06-07-17,438,448.75,437.5,444.75
06-06-17,429.25,440.75,429.25,435.75
06-05-17,428.75,433.25,425.5,429.5
06-02-17,428,434,426.5,429.5
06-01-17,429.5,431.25,421.25,429
05-31-17,433.5,436.25,428.25,429.25
05-30-17,438.5,439.25,426.25,429.5
05-26-17,430.25,439,429.25,438.25
05-25-17,431.5,436,430.25,430.75
05-24-17,429.25,433,427.5,432.5
05-23-17,433.5,435.75,428,429.5
05-22-17,437,442.5,434,434.25
05-19-17,425.25,436.75,425.25,435.25
05-18-17,429.25,429.25,421.25,425.75
05-17-17,423,432.25,421.5,427
05-16-17,423.25,426,420.25,424.25
05-15-17,430.25,431,421.5,423.25
05-12-17,445.25,445.25,416.25,425
05-11-17,425.75,434,425.75,426
05-10-17,424,424,420.75,424
05-09-17,421,423.25,420.5,421.75
05-08-17,426,426,421.25,418
05-05-17,428,428,428,427.5
05-04-17,442,442,425.75,426
05-03-17,442,442,440,443
05-02-17,445.75,450.75,440,441.5
05-01-17,423.75,442.25,423.75,442.75
04-28-17,413,418.5,413,418.5
04-27-17,407,415,406,413.5
04-26-17,409,413.75,405.75,407.75
04-25-17,402.75,411,398.5,408.75
04-24-17,406.5,408.5,401.25,402.5
04-21-17,406,408,400,405
04-20-17,418,421.75,405.25,406.25
04-19-17,421.5,425.75,417.5,419
04-18-17,421.75,423.75,419,422.5
04-17-17,430.25,431.25,419.75,421
04-13-17,432.5,436,428.75,429.75
04-12-17,433.75,436.5,431.5,433.25
04-11-17,428,434.75,423.75,433.25
04-10-17,423.75,429,422.5,428.75
04-07-17,422.75,425.25,419.5,424
04-06-17,429,430.75,421.75,423.25
04-05-17,427.25,430.5,425,429.75
04-04-17,426.75,432.25,425.75,427
04-03-17,430.25,434,427,427.75
03-31-17,422,432.25,416.5,426.5
03-30-17,425.5,426.25,419.5,421
03-29-17,424,427.5,422.5,425.5
03-28-17,421,425.75,419.25,424.5
03-27-17,426,426,418.25,420.75
03-24-17,421.5,426.25,420.75,424.75
03-23-17,421.5,424.75,420,421
03-22-17,427,427.25,421.25,422.25
03-21-17,430.5,430.5,423,426.5
03-20-17,439.25,442.75,429,430.25
03-17-17,434.75,437.75,433,436.25
03-16-17,436,440.75,434.5,436
03-15-17,431,437,430.5,436
03-14-17,412.25,413,412,412
03-13-17,419.5,419.5,412.5,412.25
03-10-17,428,428,423.75,422.75
03-09-17,432,432.5,425,426
03-08-17,431.5,431.5,426,427.5
03-07-17,440,440,432.25,436
03-06-17,436,441.75,436,438.25
03-03-17,430.25,434.25,429,433.75
03-02-17,436.75,437.75,432.75,432
03-01-17,424.25,435.5,422.75,435.5
02-28-17,420,435.5,419.5,424.75
02-27-17,430,431,418.25,418.75
02-24-17,438.25,438.5,430,431.25
02-23-17,441.25,444.25,436.25,438
02-22-17,436,443,435.25,441.25
02-21-17,439.75,440.75,435,436
02-17-17,445.5,447.5,440.25,441
02-16-17,453.5,464.25,445.25,447.75
02-15-17,449,455.5,446.25,454.75
02-14-17,450.5,452,446.25,449.5
02-13-17,447.75,456,444.25,452.25
02-10-17,442.5,450.75,441,449
02-09-17,430.5,444,429.5,443.5
02-08-17,430.5,433.25,427.5,432.5
02-07-17,422.5,431,419.75,430.75
02-06-17,429,432.25,422.25,422.5
