Date,Open,High,Low,Close
09-01-17,47.08,47.24,46.56,46.73
08-31-17,45.95,47.47,45.58,47.23
08-30-17,46.31,46.72,45.84,45.96
08-29-17,46.86,46.96,45.76,46.44
08-28-17,47.89,48.2,46.15,46.57
08-25-17,47.62,47.91,47.39,47.87
08-24-17,48.36,48.43,47.06,47.43
08-23-17,47.64,48.5,47.53,48.41
08-22-17,47.45,48.03,47.2,47.64
08-21-17,48.72,48.75,47.03,47.37
08-18-17,46.93,48.74,46.78,48.51
08-17-17,46.8,47.19,46.46,47.09
08-16-17,47.72,47.99,46.67,46.78
08-15-17,47.49,47.9,47.02,47.55
08-14-17,48.79,49.16,47.43,47.59
08-11-17,48.52,48.98,47.98,48.82
08-10-17,49.68,50.22,48.35,48.59
08-09-17,49,49.72,48.9,49.56
08-08-17,49.31,49.79,48.86,49.17
08-07-17,49.59,49.73,48.54,49.39
08-04-17,48.95,49.64,48.5,49.58
08-03-17,49.59,49.96,48.78,49.03
08-02-17,48.8,49.65,48.55,49.59
08-01-17,50.21,50.43,48.37,49.16
07-31-17,49.85,50.41,49.18,50.17
07-28-17,49.17,49.81,48.86,49.71
07-27-17,48.7,49.24,48.25,49.04
07-26-17,48.51,48.87,47.86,48.75
07-25-17,46.46,48.66,46.38,47.89
07-24-17,45.62,46.53,45.4,46.34
07-21-17,46.91,47.21,45.54,45.77
07-20-17,47.09,47.55,46.66,46.79
07-19-17,46.25,47.26,46.14,47.12
07-18-17,45.99,46.92,45.81,46.4
07-17-17,46.68,46.88,45.89,46.02
07-14-17,46.08,46.74,45.8,46.54
07-13-17,45.44,46.28,44.99,46.08
07-12-17,45.74,46.48,45.11,45.49
07-11-17,44.58,45.81,43.83,45.04
07-10-17,44.35,44.84,43.65,44.4
07-07-17,45.35,45.42,43.78,44.23
07-06-17,45.65,46.53,45.18,45.52
07-05-17,47.04,47.32,44.51,45.13
07-03-17,46.28,47.1,45.92,47.07
06-30-17,44.89,46.35,44.88,46.04
06-29-17,44.89,45.45,44.65,44.93
06-28-17,43.7,44.9,43.67,44.74
06-27-17,43.49,44.44,43.32,44.24
06-26-17,43.16,43.65,42.63,43.38
06-23-17,42.8,43.2,42.53,43.01
06-22-17,42.55,43.32,42.26,42.74
06-21-17,43.38,44.2,42.05,42.53
06-20-17,44.11,44.4,42.75,43.23
06-19-17,44.68,45.06,44.05,44.2
06-16-17,44.25,44.94,44.24,44.74
06-15-17,44.69,44.81,44.22,44.46
06-14-17,45.94,46.49,44.54,44.73
06-13-17,46.01,46.57,45.56,46.46
06-12-17,45.8,46.71,45.66,46.08
06-09-17,45.71,46.18,45.27,45.83
06-08-17,45.85,46.18,45.2,45.64
06-07-17,47.98,48.23,45.65,45.72
06-06-17,47.4,48.4,46.94,48.19
06-05-17,47.71,48.42,46.86,47.4
06-02-17,48.04,48.19,46.74,47.66
06-01-17,48.63,49.17,47.9,48.36
05-31-17,49.65,49.71,47.73,48.32
05-30-17,49.93,50.28,49.03,49.66
05-26-17,48.75,49.94,48.18,49.8
05-25-17,51.25,52,48.45,48.9
05-24-17,51.44,51.88,51.03,51.36
05-23-17,51.04,51.79,50.57,51.47
05-22-17,50.6,51.06,50.44,50.73
05-19-17,49.28,50.53,49.28,50.33
05-18-17,48.93,49.6,48.05,49.35
