Date,Open,High,Low,Close
09-01-17,2470.25,2478,2470,2476.25
08-31-17,2455.25,2474.25,2454.75,2470
08-30-17,2446.5,2459.75,2442.75,2455.75
08-29-17,2434,2448.5,2421,2447
08-28-17,2442,2449.25,2436.25,2443.75
08-25-17,2442.5,2453.5,2437.5,2442.5
08-24-17,2440.25,2449,2434.5,2440.75
08-23-17,2453,2454.75,2438.75,2441.5
08-22-17,2428,2454.25,2427.5,2452.75
08-21-17,2428.75,2431.5,2415.75,2428
08-18-17,2426.75,2439.5,2419.5,2426.75
08-17-17,2466.75,2468.5,2423.75,2429.5
08-16-17,2464.5,2474,2461.5,2467.5
08-15-17,2464.5,2473.25,2460,2463.75
08-14-17,2441.5,2466.5,2441.5,2463.5
08-11-17,2434.5,2446.5,2430.25,2440
08-10-17,2474,2474.25,2432.75,2437.5
08-09-17,2470,2474.5,2459,2473
08-08-17,2477.5,2488.5,2467.5,2472.75
08-07-17,2472.25,2478.25,2472,2477.5
08-04-17,2470.75,2477.75,2467.75,2472
08-03-17,2473.25,2474.5,2466,2471.75
08-02-17,2474,2476,2463.25,2473.5
08-01-17,2468,2477.25,2466.25,2472.25
07-31-17,2470.5,2475,2465.25,2468
07-28-17,2472,2472,2461.5,2470.25
07-27-17,2474.5,2480.5,2457,2472
07-26-17,2475.25,2479.75,2471.5,2473.25
07-25-17,2467,2478.75,2466.25,2474
07-24-17,2469.75,2470.5,2463.5,2468.5
07-21-17,2472.5,2475.25,2462.75,2469.5
07-20-17,2471,2476.25,2465.5,2471.25
07-19-17,2459.75,2472,2457.75,2471.5
07-18-17,2459.25,2461,2448,2457.75
07-17-17,2457,2460.5,2454,2458.5
07-14-17,2446.5,2461.25,2442,2456
07-13-17,2441.25,2447,2439,2445.5
07-12-17,2425,2443.75,2422.5,2440
07-11-17,2423.75,2427.75,2410.25,2424.5
07-10-17,2423,2430,2419.25,2424.5
07-07-17,2409.25,2425,2407.5,2422.5
07-06-17,2428,2430.5,2405.25,2408.5
07-05-17,2423.75,2432.25,2419.25,2428
07-03-17,2422,2436.5,2421.5,2425
06-30-17,2420.75,2429.75,2415,2421
06-29-17,2442,2445,2402.25,2420
06-28-17,2417,2442.5,2413.75,2438.5
06-27-17,2435.75,2437.25,2416.5,2420.5
06-26-17,2432,2447.5,2430,2436
06-23-17,2431.25,2438.75,2428.25,2435
06-22-17,2431.75,2439,2428,2431.75
06-21-17,2435.75,2440,2428,2433.5
06-20-17,2447.75,2451,2434,2437.5
06-19-17,2433.5,2451.5,2432.75,2447.5
06-16-17,2433.75,2439,2432.5,2434.89
06-15-17,2436,2436,2418.25,2434.25
06-14-17,2440.25,2445.5,2427.75,2437.25
06-13-17,2428.75,2441.5,2427.25,2440
06-12-17,2430,2431,2419,2428.5
06-09-17,2427.25,2445.75,2414.75,2430.5
06-08-17,2431.5,2439,2427.25,2432.5
06-07-17,2429.5,2435,2424,2432
06-06-17,2434.25,2435.75,2426.25,2430.75
