Date,Open,High,Low,Close
09-01-17,341.5,345.5,338.5,340.25
08-31-17,329.25,342.75,328.5,342.25
08-30-17,333,334,329,329.5
08-29-17,335.5,336,332,333.5
08-28-17,338.75,340.25,335.5,336
08-25-17,342,342.75,338,338.75
08-24-17,341.5,342.75,340.25,342
08-23-17,346.25,348.75,341.5,342
08-22-17,349,351,346,346
08-21-17,350.5,350.75,346.5,349
08-18-17,350,352.5,349.75,352
08-17-17,352.5,353.75,349.5,350.5
08-16-17,355,356.75,349.25,352.5
08-15-17,361,361,354,355.25
08-14-17,358.75,363,356,362.75
08-11-17,358.75,361.5,357.25,360.75
08-10-17,371.75,375.5,356.5,357.25
08-09-17,369,372.5,368.75,372.25
08-08-17,372.5,374.25,368.25,369.75
08-07-17,368.75,372.5,368.25,372.25
08-04-17,363.5,368,363.25,366.5
08-03-17,365,367.25,361.25,363.5
08-02-17,364.5,367.25,363.75,365
08-01-17,369.25,371.5,362,362.5
07-31-17,371,372.25,367.5,370.75
07-28-17,373.75,377,373,374.25
07-27-17,374,377.25,373,374.25
07-26-17,368.5,373.25,366,372.75
07-25-17,382,383.75,368.5,368.75
07-24-17,375.5,377.5,371,377.25
07-21-17,390.5,391,378.5,379.75
07-20-17,382.5,393.25,380.5,391
07-19-17,376.5,389,374.25,382.5
07-18-17,380.75,388.75,375.25,377
07-17-17,375.75,378.75,370.5,375
07-14-17,369,369,369,365.25
07-13-17,376.25,376.25,360,361
07-12-17,390.5,391.25,376,376.25
07-11-17,393.25,394.5,387,392.25
07-10-17,387.75,392.25,387.75,391.75
07-07-17,379,386.75,378.25,382.25
07-06-17,380,381.25,375,380.25
07-05-17,379.5,383.25,374.75,381.75
07-03-17,373.25,385.25,373,378
06-30-17,360,372.5,359.5,370.5
06-29-17,356.75,362.25,356.25,359.75
06-28-17,359.5,360.5,356.75,356.75
06-27-17,361.25,364.25,359.25,359.25
06-26-17,358.5,361.75,357.25,359
06-23-17,362.75,364.75,356.5,357.75
06-22-17,368.75,369.25,362.5,362.75
06-21-17,369.5,373.5,368.25,368.75
06-20-17,376.25,377.5,369.25,370
06-19-17,378.25,381.5,375.25,375.25
06-16-17,378.75,384.5,377,384
06-15-17,376.75,382,370,379.5
06-14-17,381,385,376.75,377
06-13-17,379.25,383.75,377.5,381
06-12-17,386,387.25,376.25,377.25
06-09-17,384.25,389.5,380.75,387.75
06-08-17,385,391.75,384.25,385.75
06-07-17,378.25,387,378.25,384.75
06-06-17,372,379.75,371.25,377.25
